təŋ,2,同銅桐筒筩童僮瞳曈朣𦏆犝艟罿潼峒穜絧衕憧彤橦茼
ləŋ,2,隆嚨籠曨朧瓏礱㰍窿霳豅癃龐龍農濃膿蘢儂穠𩅽醲癑帑
iəŋ,2,容蓉傭慵溶榕庸墉鏞鎔鄘鱅茸禺喁瑢絨肜融瀜駥茙戎
xəŋ,1,楓風豐灃酆烘麷蜂封葑丰烽鋒瘋峰
məŋ,2,𫎇濛瞢矇幪朦饛艨夢曚懜𡁏礞萌氓
xəŋ,2,紅馮渢洪虹鴻訌逢縫宏泓閎鞃
tsəŋ,1,宗蹤淙琮悰縱賨騣豵猣椶㚇鬷緫
kəŋ,1,公弓宫功工攻躬恭供龔蚣共
tʃəŋ,1,中終忠衷螽鍾鐘𦉂
tʃʰəŋ,1,充种沖珫㤝忡舂衝蹖摏憃
ɕiəŋ,1,兇胷凶匈洶恟訩兄
səŋ,1,松鬆淞忪彸嵩崧菘娀
tsʰəŋ,1,蔥聰驄璁悤䡯從
pəŋ,2,蓬篷芃逄朋鵬棚
tsəŋ,2,崇䕺叢從鏦樅潨
iəŋ,1,雍饔癰廱雝噰灉邕
tɕiəŋ,2,窮穹藭邛筇蛩銎𦭭
təŋ,1,蝀東凍冬鼕
tʰəŋ,1,通侗恫蓪
tʃəŋ,2,蟲爞重
kʰəŋ,1,空倥悾箜
ɕiəŋ,2,雄熊芎
əŋ,1,翁蓊
ləŋ,1,聾
ɕiaŋ,1,香鄉薌膷
ɸaŋ,2,黃皇房篁蝗凰魴潢隍坊簧湟璜鍠徨遑惶喤妨防煌
iaŋ,2,陽楊暘鍚瘍揚颺羊洋佯痒徉
paŋ,2,傍螃膀滂磅雱彷尨哤龐瀧𥆙娏逄庬蒡
laŋ,2,朗狼榔桹莨蜋稂莨廊琅硠浪囊
tʃaŋ,1,張章樟漳麞鄣璋嫜彰障粻
taŋ,2,唐塘堂棠螗螳餹搪溏鏜傏膛
tsiaŋ,2,祥詳庠翔墻薔嬙檣戕
maŋ,2,茫芒忙鋩邙𥐞蘉盲硭虻蝱
siaŋ,1,相箱湘廂緗襄驤鑲纕勷
kaŋ,1,綱剛鋼岡罡罁棡
tɕiaŋ,1,姜䗵䕬江茳杠豇缸矼扛釭舡肛
tɕʰiaŋ,1,疆羌僵繮蜣腔殭椌
tsʰiaŋ,1,蹌鏘斨鶬將槍蹡瑲
xaŋ,2,杭頏亢航吭行桁肮
tʃaŋ,2,長腸場萇觴鼚
liaŋ,2,涼梁糧良䣼梁量亮
tʃʰaŋ,1,昌菖倡猖閶倀
iaŋ,1,秧鴦殃央泱
ɸaŋ,1,方芳荒肓衁枋
tɕyaŋ,1,莊樁妝裝
ʃaŋ,1,傷商殤湯裼愓
tsaŋ,1,臧贓牂鏦瑽淙跫
kʰuaŋ,1,匡筐眶恇劻𨴑
ɕyaŋ,1,霜孀驦鷞雙艭𢥠䉶
kuaŋ,1,光胱洸珖桄觵
zaŋ,2,攘穰瀼禳瓤
taŋ,1,當襠璫簹
ʃaŋ,2,常嘗裳償鱨
tsʰaŋ,1,倉創蒼滄瘡
uaŋ,2,王亡忘望
kʰaŋ,1,康穅亢躿
tɕʰyaŋ,1,窗撞幢憃摐
paŋ,1,邦梆幫
tsiaŋ,1,將漿螀蔣
saŋ,1,桑喪
uaŋ,1,汪尪
ŋaŋ,2,昂卭
tɕiaŋ,2,强彊
ȵiaŋ,2,娘孃
tʰaŋ,1,湯
kuaŋ,2,狂
ɕiaŋ,2,降
tsaŋ,2,藏
tɕyaŋ,2,牀
ʃɿ˗,1,詩施尸屍蓍鳲邿
tsɿ,1,姿資貲茲滋鶿粢孜緇淄錙輜齍咨餈仔菑鼒劑鄑耔鎡
tʃɿ˗,1,之芝知支肢枝榰卮梔氏祇脂禔
sɿ,1,師私思司獅斯絲緦偲厮虒釃澌嘶撕𤺊
tʃʰɿ˗,1,癡笞鍉絺鴟褫蚩螭魑媸嗤匙
tʃɿ˗,2,遲池持馳箎墀踟泜蚳坻治
tsɿ,2,辭詞慈祠瓷茲磁茨辤
tsʰɿ,1,雌疪訾頾差𦙼
ʃɿ˗,2,時塒鰣蒔
ɸɘi,1,非飛揮扉輝妃徽暉霏翬騑緋褘痱腓厞楎菲誹灰恢悝脢詼虺鼲麾墮撝劘
mɘi,2,梅媒枚鋂苺禖眉嵋彌瀰縻楣湄醾蘼迷麛冞獼霉玫
uɘi,2,微薇韋違圍闈嵬巍幃桅為維惟帷危濰褘
uɘi,1,威葳蝛煨隈傀瑰隗偎痿緌蕤逶萎委荽
lɘi,2,雷罍纍羸欙虆縲擂瘰
kuɘi,1,歸規龜溈媯圭奎刲閨邽袿皈闚
kuɘi,2,葵逵夔馗頯騤戣暌睽
ɸɘi,2,回茴洄徊肥淝痱
tɕyɘi,2,垂箠錘倕陲
tɕyɘi,1,追鵻騅椎隹錐鎚
pɘi,2,裴陪培醅坏賠
tɘi,2,尵隤豗魋㿗
pʰɘi,1,胚丕駓邳秠伾㔻
tsʰɘi,1,崔催摧縗榱衰
tʰɘi,1,推蓷焞
pɘi,1,杯桮悲卑碑陂萆
kʰuɘi,1,魁窺虧盔
tɕʰyɘi,1,吹炊
sɘi,2,隨隋
sɘi,1,雖睢
tɘi,1,堆
ɕyɘi,2,誰
si,1,西棲犀胥糈諝需須鬚嬃綏雖
tɕi,2,祁奇騎旗棋淇蜞綦麒騏琪期祺其鰭䰇崎琦敧蚔軝錡岐歧耆示蚑踦剞蘄圻旂祈頎芪伎
ɕi,1,奚谿㜎兮徯鼷蹊豀醯嬉熙爔僖犧羲嘻曦巇嚱譆戲希稀睎豨鵗睎欷禧誒屎鸂郗
pi,2,皮疲羆脾埤陴鈹魮㮰紕貔毗比裨箄椑鼙膍笓鎞埤枇蚍猈箅
li,2,黎棃犂藜々黧瓈鸝貍狸梩離籬釐摛漓縭蘺䍦罹醨璃漦嫠驪纚酈氂麗釃蠡
i,2,移儀峓姨夷遺怡詒飴頣迤彝貤跠洟痍椸匜𨠑桋圯訑𩚉蛇扅台袲
tɕi,1,雞稽嵇筓幾譏饑禨磯璣畿機飢基期羈羇𤪌姬萁箕肌居乩
tsi,1,躋齎齏虀擠疽沮蛆菹狙苴趄砠且雎
ti,2,提嗁蹏梯隄鵜綈稊禔緹題騠鞮媞䬾褆罤
ȵi,2,泥兒霓麑䡚鯢倪猊臡疑尼柅怩嶷沂郳呢宜
i,1,衣依伊吚醫噫漪猗褘繄鷖椅欹黟
tsʰi,1,妻淒棲々悽萋郪趨
ti,1,低羝詆磾胝氐疷
ɕi,2,攜畦觿巂鑴酅
pʰi,1,批披㓟𦱔銔
tsi,2,齊臍蠐懠
tɕʰi,1,欺僛
si,2,徐
pi,1,陂
xai,2,諧骸湝鞋孩
kai,1,皆偕喈痎街階荄頦該陔垓
tsai,2,柴祡豺儕才材裁財纔
tai,2,臺擡苔邰鮐薹台
tsai,1,災哉栽齋
ŋai,2,崖厓埃巖碞呆睚
pai,2,牌排俳篺棑𥱼徘
lai,2,來萊騋郲徠崃
sai,1,顋䰄䚡罳颸篩
ɸai,2,懷淮槐
tsʰai,1,猜差釵
kʰai,1,開楷□
ŋai,1,哀挨唉
mai,2,埋霾
tai,1,獃
tʰai,1,胎
kuai,1,乖
ɕyai,1,衰
uai,1,歪
ɸu,2,乎胡湖糊餬瑚葫醐鶘衚郛孚俘桴稃夫芙蚨鈇扶狐符弧趺苻鳧壺枹柎瓠鬍榑鄜涪
y,2,魚漁余於如輿畬旟與譽鴽袽樗摴璵洳餘愚于俞諛虞隅娛嵎盂渝竽濡愉揄榆楰獳襦繻羭窬瘉褕臾邘杅萸逾雩儒箊禺喁毹覦腴茹嚅薷踰𠍶瑜
tɕy,1,朱姝珠誅蛛駒洙株邾銖俱侏拘捄居裾櫧据椐豬車諸琚硃跦
tɕy,2,除蜍滁籧篨渠腒蘧蕖躇瀦儲醵衢戵劬蹰瞿𢊍癯朐絇幮鸜
ɕy,1,書舒虛噓墟伃妤歔紓攄㠊紆輸吁訏盱冔
ku,1,孤姑沽菰呱辜柧觚罛蛄苽箍鴣
ɸu,1,夫膚呼敷幠莩罦痡柎玞砆䴸嘑膴跗滹
tɕʰy,1,區驅軀嘔嶇樞敺貙咮祛袪阹呿
u,2,無吾梧吳毋郚蕪鼯齬浯蜈摹模嫫謨膜
pu,2,蒲逋蒱晡餔酺匍葡菩莆
u,1,巫烏誣污杇於惡鄔嗚洿
y,1,迂淤瘀
kʰu,1,枯刳骷
ɕy,2,藷殊殳
pʰu,1,鋪
ləu,2,樓僂髏螻䝏摟蔞婁盧蘆纑婁瀘轤壚櫨艫顱矑鱸鸕駑玈孥奴鏤廬驢臚蘆䕡閭櫚鑪爐
iəu,2,尤由油遊游猶郵庮疣蝣斿訧鮋猷輶蕕𩹊楢
tʃɘu,2,籌儔惆酬醻犨裯綢稠仇讎疇售幬譸椆𥺝躊
tɕiəu,2,求裘毬逑艽捄觩絿球璆鏐賕厹頄銶虯俅鼽
səu,1,蒐廋䬒溲𢯱䤹疏酥梳蔬叟蘇鄋𩜯䐹
tsəu,1,鄒棷鯫騶諏緅菆租蒩鄹棸陬
xəu,2,候喉浮餱鍭罘芣不篌緱猴桴枹蜉紑鄇
təu,2,徒途塗荼圖駼菟屠瘏涂鵌頭投酴骰
məu,2,謀侔䏬矛麰鍪蟊瞀髳
liəu,2,劉瀏留流瘤遛榴琉旒騮飀硫
tsʰiəu,1,秋啾鞦楸湫鶖鰌揫緧萩
tʃɘu,1,周週州洲舟輈賙啁侜盩婤
iəu,1,憂悠幽優呦攸麀耰鄾嚘滺
kəu,1,勾鉤鬮韝袧篝軥溝褠
ŋəu,1,謳歐甌鷗彄摳芤漚區
tsəu,2,愁篘鋤耡騶徂雛殂
siəu,1,修羞鎈脩滫
zəu,2,柔揉蹂猱
tsʰəu,1,初粗芻搊
ɕiəu,1,休咻庥貅
təu,1,兜都闍𣘛
tsiəu,2,囚噍遒酋蝤
pəu,2,裦抔泅掊
tʃʰəu,1,抽瘳紬妯
tɕiəu,1,鳩樛龜糾
tɕʰiəu,1,𠀉邱蚯坵
piəu,1,彪
tʰəu,1,偷媮
ȵiəu,2,牛
ʃɘu,1,收
xəu,1,齁
tiəu,1,丢
miəu,2,繆
iɑ,1,丫椏枒鴉呀
tɕiɑ,1,家嘉加枷笳迦瘕葭珈豭痂跏佳
sɑ,1,沙裟鯊畬賒紗砂㸺奓𤙱杉𤵌
pɑ,1,巴葩琶豝爬芭杷羓笆疤
uɑ,1,蛙媧哇漥騧鼃汙窊娃剜洼
tsʰɑ,1,差叉杈車槎扠
ɕiɑ,2,霞遐瑕蝦騢
iɑ,2,牙芽衙涯琊
tsɑ,2,茶查
mɑ,2,麻蟆痳
ɸɑ,2,華划驊
ɸɑ,1,花譁華
tsɑ,1,樝渣
pɑ,2,筢鈀扒
kʰuɑ,1,誇夸
tɕiɑ,2,茄伽
lɑ,2,拏
tɕyɑ,1,撾檛髽
ɕiɑ,1,鰕疨
mɑ,1,𥄲媽
siɑ,2,斜
kuɑ,1,瓜
tʰɑ,2,他
tɕyɑ,2,瘸
ie,2,耶爺捓鋣
ɘ,2,而兒栭胹鮞輀洏陑耏
tsie,1,嗟𦊨苴
ʃɘ,2,蛇佘
tie,1,爹㸙
sie,2,邪衺
tʃɘ,1,遮
sie,1,些
ʃɘ,1,奢
ɕye,1,鞾
tɕie,2,茄
liȵ̍,2,林霖臨淋琳鄰麟鱗璘粼嶙燐轔凌陵棱綾蔆崚輘鯪淩令靈零齡聆伶翎囹舲泠鴒瓴櫺醽苓軨麢酃鈴𧕅玲遴楞箖笭痳麐燐
iȵ̍,1,陰音喑瘖愔鶯英櫻鸚纓嬰攖嚶韺瓔霙甖罌瑛鷹膺譍應蠅因茵姻闉氤湮堙駰禋殷慇癭
yȵ̍,2,雲耘紜芸䢵篔沄澐云妘筠匀畇榮罃縈塋嶸瑩營鍧螢滎熒瀠蕓蠑
tsəȵ̍,1,爭箏簪崢琤錚鬇尊罇蹲嶟遵榛臻踆竣逡溱蓁𠬍憎罾橧矰鄫鄫鬙嶒增曾猙鱒睜捘丁
tʃəȵ̍,2,陳臣塵程酲成誠郕盛呈裎承丞懲澂沈忱湛諶煁
miȵ̍,2,名明鳴盟冥溟蓂螟銘暝嫇瞑緡民岷瑉閩鄍瑉
iȵ̍,2,銀寅夤垠嚚訚狺齗迎盈楹嬴瀛籝贏吟淫霪仍
piȵ̍,2,平苹坪栟枰評貧嬪頻嚬蘋顰憑馮凭屏瓶萍帡荓
tʃəȵ̍,1,真珍瞋振甄鍼箴琛椹砧斟貞征正偵鉦楨徵癥蒸烝鱵畛
ɸəȵ̍,2,橫黌紘焚豶羵墳枌汾朌幩羒鼖蕡濆蚡蚠餛𪏆魂渾褌
tɕiȵ̍,1,金今禁襟紟京驚鯨荆斤筋經涇巾矜兢釿觔
ɸəȵ̍,1,分氛芬葷棼雰紛轟薨甍訇昏婚閽噴棻餴睧岎
piȵ̍,1,賓濱彬豳斌瀕蠙兵并掤冰繽鑌臏
ɕyȵ̍,1,薰醺曛熏焄纁勳燻塤
səȵ̍,1,生甥牲笙參森蔘僧飱孫蓀
tɕyȵ̍,1,君軍皸均諄鈞囷菌迍扃𡋙駉肫焞莙麕
ʃəȵ̍,1,申伸紳身呻娠升昇勝聲深陞
təȵ̍,1,登豋燈簦敦墩暾啍惇燉
siȵ̍,1,新薪詵辛莘侁駪甡星腥鯹惺篁猩騂心
tɕiȵ̍,2,禽擒琴衾檎芩勤懃芹黥擎檠勍廑𠘅㡵
təȵ̍,2,滕藤縢螣謄窀騰豚屯軘飩純㬾疼魨
səȵ̍,2,荀廵循旬恂馴紃詢珣郇峋
tsiȵ̍,2,情晴餳秦螓尋𩱕潯燖鐔鄩蟫
ʃəȵ̍,2,神脣辰晨漘宸乘塍繩澠
tsʰiȵ̍,1,青清鯖駸綅侵親祲寖
ɕyȵ̍,2,純鶉蒓錞醇㨃
tɕyȵ̍,2,羣裠煢嬛瓊頵麇
tiȵ̍,2,亭庭延蜒停渟霆聤葶筵
kəȵ̍,1,庚耕羹更賡鶊秔根跟粳
tsiȵ̍,1,精睛旌晶菁蜻津腈
zəȵ̍,2,人仁紉妊壬任礽
ləȵ̍,2,倫掄輪淪綸蜦䑳能論崙
kʰuəȵ̍,1,坤昆崐鯤髡琨鵾焜晜
pəȵ̍,1,祊奔賁塴犇崩
tɕʰyȵ̍,1,春椿傾杶頃輴
tʃʰəȵ̍,1,稱蟶郴檉頳竀偁
kʰəȵ̍,1,阬牼鏗硜慳
ɕiȵ̍,1,欣昕興馨歆訢
xəȵ̍,2,衡蘅莖珩恒鞃痕
tiȵ̍,1,丁釘玎仃汀町叮疔朾
ɕiȵ̍,2,行邢刑形鉶陘硎型娙陘侀
tsəȵ̍,2,層曾振桭瞪橙岑涔存
tsʰəȵ̍,1,撐槍鎗傖皴村邨
pəȵ̍,2,彭蟛棚朋鵬盆湓澎膨
məȵ̍,2,門捫們璊甿穈
uəȵ̍,2,聞文紋蚊雯閺
uəȵ̍,1,緼氤蕰温瘟
tɕʰiȵ̍,1,卿輕欽嶔
ȵiȵ̍,2,凝鬡獰
pʰəȵ̍,1,烹怦伻
tʰiȵ̍,1,廳桯
kuəȵ̍,1,肱觥
pʰiȵ̍,1,娉俜
tʰəȵ̍,1,吞
ŋəȵ̍,1,恩
xəȵ̍,1,亨
ɸã,2,凡帆還轘鐶鬟寰鍰圜闤環璠蹯墦燔膰藩蕃樊繁蘩礬袢
xã,2,韓寒咸函銜鹹緘諴瑊椷鵮含々涵唅谽㟏閒蕑閑嫺鷳患憪邗
lã,2,南男藍籃枏婪襤諵嵐難闌欄瀾蘭攔幱讕斕惏
kã,1,甘柑泔蚶干竿奸虷乾玕肝艱姦菅監犴疳癇杆閒
tã,2,談譚痰潭餤覃郯惔壜曇醰蟫鐔𨝸彈檀壇繵
tsã,2,讒毚攙欃鑱饞巉蠶慙鐕孱潺殘酁
tã,1,丹單襌鄲殫簞耽耼湛酖擔儋妉眈
tʰã,1,灘攤嘽癉歎探貪癱醓
uã,1,彎豌灣
ŋã,1,安鞍菴諳䳺盦弇
ɕyã,1,珊跚姍刪潸芟𢹞
xã,1,邯酣憨豻翰幹汗鼾貛
sã,1,三衫杉縿𩌰山
pã,1,班䰉頒斑般殷瘢螌𧇥
kʰã,1,看刊堪龕戡慳
ɸã,1,番翻幡旙繙反
tsʰã,1,參驂餐摻䱗
pʰã,1,攀板眅
kuã,1,關鰥瘝癏
tsã,1,篸毿
mã,2,蠻漫瞞
mã,1,鞔
tã,1,甔
uã,2,頑𤻆
ŋã,2,顏
ton,1,端湍篅耑
xon,2,完莞桓萑紈刓絙荁丸
pon,2,般盤蟠鞶蹣磐胖弁繁縏𠽲
mon,2,饅鏝謾鰻
lon,2,鸞鑾巒欒圝
kon,1,官觀冠棺倌
ton,2,團漙摶慱𩜵
xon,1,歡驩讙
tson,1,攢鑽巑
tsʰon,1,攛
kʰon,1,寬
pʰon,1,潘拌
son,1,酸
pon,1,搬
tsiẽ,2,全錢前泉痊荃銓牷鬋媊詮筌潛撏熸爓燂𤑶
yẽ,2,元原園源沅援黿嫄騵爰垣洹轅湲猨媛袁鉛員圓緣蝝沿然芄丸䢵燃
tʃẽ,1,占瞻拈詹覘痁黏霑佔苫阽襜氈澶鸇鱣邅饘旃栴怗讝
liẽ,2,連蓮攣憐聯漣簾濂匳鐮籨廉鰱薟帘薕
iẽ,2,延筵綖埏梴蜒鋋檐鹽閻炎郔
tɕʰiẽ,1,愆岍汧騫褰牽鶱鰜謙諐雃
tɕyẽ,1,專捐甎鵑顓蜎蠲涓娟悁鞙鄟鱄
siẽ,1,先仙鮮宣遷躚秈纖暹殲銛
tɕyẽ,2,傳船權遄拳顴棬鬈踡卷弮輲歂
tsiẽ,1,煎牋湔韉戔鐫籛朘濺尖漸䘒
iẽ,1,煙燕焉鄢咽胭嘕嫣閹淹醃厭崦酀菸𠝢
yẽ,1,鳶淵冤鴛鵷眢髯蚦䩩衻棩
ɕyẽ,1,萱喧暄揎諼貆諠
tsʰiẽ,1,千遷芊韆阡仟悛籤僉噞憸
piẽ,1,邊籩編扁鞭鯿砭萹鯾蝙
tiẽ,2,田填滇佃闐畋恬甜鈿嗔
tɕiẽ,2,乾虔黔箝鈐鉗雂
tɕiẽ,1,肩堅豜蒹兼鶼犍鞬尲
piẽ,2,楩駢便平軿骿胼楄
siẽ,2,旋涎璇嬛還儇
ȵiẽ,2,年嚴鮎
tɕʰyẽ,1,川穿玔釧圈
ʃẽ,2,蟬禪嬋蟾單
tʃẽ,2,廛瀍躔纏
ɕiẽ,2,賢弦絃舷嫌
miẽ,2,眠棉綿㒙
ɕyẽ,2,懸縣椽元
tiẽ,1,顛巔瘨癲
